minuto,pedidos_en_fotografia,h
0,0,0
30,0,0
60,0,0
90,1,0
120,1,0
142,1,0
150,1,0
162,0,0
180,0,0
210,0,0
220,0,0
233,0,0
240,0,0
244,0,0
270,0,0
282,0,0
300,1,0
330,1,0
341,0,0
356,0,0
360,0,0
375,0,0
380,0,0
390,0,0
420,0,0
432,0,0
450,0,0
466,0,0
468,0,0
480,0,0
489,0,0
501,0,0
510,0,0
514,0,0
540,1,0
542,1,0
553,1,0
559,1,0
570,0,0
579,0,0
583,0,0
600,0,0
605,0,0
607,0,0
630,2,0
649,1,0
660,1,0
690,0,0
719,0,0
720,0,0
737,0,0
750,0,0
757,0,0
761,0,0
780,1,0
797,1,0
810,1,0
840,0,0
841,0,0
870,0,0
875,0,0
900,1,0
930,1,0
934,1,0
959,0,0
960,0,0
982,0,0
990,1,0
996,1,0
1015,1,0
1020,1,0
1028,1,0
1050,1,0
1080,0,0
1104,1,0
1106,1,0
1110,1,0
1130,1,0
1140,0,0
1158,0,0
1170,0,0
1180,0,0
1183,0,0
1189,0,0
1200,1,0
1219,1,0
1230,1,0
1250,0,0
1260,0,0
1290,0,0
1300,0,0
1307,0,0
1320,1,1
1350,1,1
1356,1,1
1360,1,1
1365,1,1
1380,1,0
1410,1,0
1440,0,0
1470,0,0
1482,0,0
1500,0,0
1530,1,0
1540,1,0
1560,1,0
1590,0,0
1596,0,0
1620,0,0
1650,0,0
1675,0,0
1680,0,0
1710,0,0
1732,0,0
1740,0,0
1770,1,1
1800,1,1
1805,1,1
1815,1,1
1830,1,1
1853,1,1
1856,1,1
1860,1,0
1890,1,0
1903,0,0
1908,0,0
1920,0,0
1931,0,0
1939,0,0
1940,0,0
1950,0,0
1980,0,0
1982,0,0
2001,0,0
2010,0,0
2035,0,0
2040,0,0
2070,0,0
2100,0,0
2108,0,0
2130,0,0
2160,0,0
2165,0,0
2190,0,0
2220,0,0
2250,0,0
2280,1,1
2310,2,2
2340,5,0
2370,4,0
2400,1,0
2430,1,0
2449,2,0
2460,2,0
2490,1,0
2503,1,0
2520,1,0
2550,0,0
2563,1,0
2580,1,0
2587,1,0
2602,1,0
2610,1,0
2640,0,0
2641,0,0
2652,0,0
2667,0,0
2670,0,0
2672,0,0
2700,0,0
2730,0,0
2760,1,1
2790,2,2
2820,2,0
2829,2,0
2848,2,0
2850,2,0
2880,1,0
2910,1,0
2939,1,0
2940,1,0
2970,2,0
3000,2,0
3001,2,0
3030,1,0
3044,1,0
3060,1,0
3090,0,0
3120,0,0
3150,1,0
3180,1,0
3210,0,0
3224,0,0
3240,0,0
3263,0,0
3269,0,0
3270,0,0
3280,0,0
3300,0,0
3312,0,0
3330,0,0
3360,0,0
3364,0,0
3367,0,0
3390,0,0
3420,1,0
3450,1,0
3469,0,0
3478,0,0
3480,0,0
3486,0,0
3510,1,0
3540,3,0
3570,3,0
3571,3,0
3600,3,0
3630,0,0
3660,0,0
3690,0,0
3691,0,0
3720,1,1
3744,2,2
3750,2,2
3755,2,2
3780,2,0
3810,2,0
3827,1,0
3840,1,0
3870,2,0
3900,3,0
3925,2,0
3930,2,0
3935,2,0
3960,0,0
3963,0,0
3990,1,0
3994,2,0
4005,2,0
4020,2,0
4050,1,0
4080,1,0
4110,1,0
4130,0,0
4140,0,0
4162,0,0
4170,0,0
4200,0,0
4230,2,2
4233,2,2
4252,2,2
4260,2,0
4290,1,0
4311,0,0
4320,0,0
4331,0,0
4350,0,0
4352,0,0
4380,0,0
4404,1,0
4405,1,0
4408,1,0
4410,1,0
4419,1,0
4425,1,0
4427,1,0
4440,2,0
4467,3,0
4470,2,0
4481,2,0
4486,2,0
4487,2,0
4500,1,0
4520,0,0
4522,0,0
4530,0,0
4539,0,0
4543,0,0
4553,0,0
4560,0,0
4588,0,0
4590,0,0
4596,1,0
4599,1,0
4620,1,0
4648,0,0
4650,0,0
4678,0,0
4680,0,0
4683,0,0
4710,1,1
4715,2,2
4729,2,2
4740,2,0
4760,2,0
4770,2,0
4800,1,0
4830,1,0
4841,1,0
4860,1,0
4873,2,0
4890,1,0
4900,1,0
4920,1,0
4950,1,0
4980,2,0
4981,2,0
5003,1,0
5010,1,0
5040,2,0
5041,2,0
5051,2,0
5061,2,0
5070,1,0
5081,0,0
5085,0,0
5100,0,0
5109,0,0
5130,0,0
5142,1,1
5151,1,1
5160,1,1
5190,1,1
5200,1,1
5220,1,0
5234,1,0
5235,1,0
5250,1,0
5264,2,0
5280,3,0
5310,3,0
5329,4,0
5339,4,0
5340,4,0
5370,2,0
5400,2,0
5426,1,0
5430,1,0
5455,0,0
5460,0,0
5485,0,0
5490,0,0
5520,1,0
5549,1,0
5550,1,0
5572,1,0
5580,0,0
5603,0,0
5608,0,0
5610,0,0
5615,0,0
5640,1,1
5670,1,1
5700,1,0
5705,1,0
5730,1,0
5732,1,0
5760,0,0
5774,0,0
5777,0,0
5790,2,0
5800,2,0
5820,2,0
5850,2,0
5872,2,0
5880,2,0
5910,1,0
5919,0,0
5940,0,0
5970,1,0
6000,1,0
6030,1,0
6060,1,0
6090,1,0
6120,1,1
6150,1,1
6180,1,0
6210,1,0
6237,0,0
6240,0,0
6270,1,0
6300,2,0
6304,2,0
6311,2,0
6316,2,0
6330,2,0
6354,2,0
6356,2,0
6360,2,0
6390,2,0
6420,2,0
6436,2,0
6450,1,0
6463,1,0
6480,1,0
6491,1,0
6497,1,0
6506,1,0
6510,1,0
6540,0,0
6547,0,0
6563,0,0
6570,0,0
6589,0,0
6600,0,0
6603,0,0
6630,0,0
6642,0,0
6660,0,0
6677,0,0
6680,0,0
6690,1,0
6699,1,0
6708,1,0
6720,2,0
6741,2,0
6750,2,0
6770,2,0
6774,2,0
6780,3,0
6810,2,0
6831,1,0
6840,1,0
6870,0,0
6880,0,0
6900,0,0
6927,2,0
6930,2,0
6935,2,0
6940,2,0
6943,2,0
6960,1,0
6990,1,0
7011,2,0
7020,3,0
7050,0,0
7059,0,0
7076,0,0
7080,0,0
7105,0,0
7110,0,0
7140,1,0
7147,1,0
7169,1,0
